Seq,Module,Section,Scene,Duration,Visual,Avatar,Narration,Production Notes
110,Module 4: SAP Joule Studio Deep Dive,4.2 The Conversation Designer,Open / Hook,162,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 4.2 The Conversation Designer and explain why it matters for SAP Joule implementation.,Target outcome: Design conversations visually.
111,Module 4: SAP Joule Studio Deep Dive,4.2 The Conversation Designer,Concept Walkthrough,306,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Visual builder, intents, entities, flow logic, testing. Keep language business-friendly and avoid over-technical wording.",Target outcome: Design conversations visually.
112,Module 4: SAP Joule Studio Deep Dive,4.2 The Conversation Designer,SAP / Enterprise Example,270,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Design conversations visually.
113,Module 4: SAP Joule Studio Deep Dive,4.2 The Conversation Designer,Recap / Action Step,162,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Design conversations visually.
114,Module 4: SAP Joule Studio Deep Dive,4.3 Knowledge Management in Studio,Open / Hook,130,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 4.3 Knowledge Management in Studio and explain why it matters for SAP Joule implementation.,Target outcome: Build knowledge foundation for agents.
115,Module 4: SAP Joule Studio Deep Dive,4.3 Knowledge Management in Studio,Concept Walkthrough,245,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Upload docs, configure data sources, semantic indexing. Keep language business-friendly and avoid over-technical wording.",Target outcome: Build knowledge foundation for agents.
116,Module 4: SAP Joule Studio Deep Dive,4.3 Knowledge Management in Studio,SAP / Enterprise Example,216,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Build knowledge foundation for agents.
117,Module 4: SAP Joule Studio Deep Dive,4.3 Knowledge Management in Studio,Recap / Action Step,130,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Build knowledge foundation for agents.
118,Module 4: SAP Joule Studio Deep Dive,4.4 Training and Testing Tools,Open / Hook,162,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 4.4 Training and Testing Tools and explain why it matters for SAP Joule implementation.,Target outcome: Improve agent performance systematically.
119,Module 4: SAP Joule Studio Deep Dive,4.4 Training and Testing Tools,Concept Walkthrough,306,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Train intents, test conversations, view analytics, debug. Keep language business-friendly and avoid over-technical wording.",Target outcome: Improve agent performance systematically.
120,Module 4: SAP Joule Studio Deep Dive,4.4 Training and Testing Tools,SAP / Enterprise Example,270,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Improve agent performance systematically.
121,Module 4: SAP Joule Studio Deep Dive,4.4 Training and Testing Tools,Recap / Action Step,162,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Improve agent performance systematically.
122,Module 4: SAP Joule Studio Deep Dive,4.5 Integration Configuration,Open / Hook,130,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 4.5 Integration Configuration and explain why it matters for SAP Joule implementation.,Target outcome: Enable real-world data access.
123,Module 4: SAP Joule Studio Deep Dive,4.5 Integration Configuration,Concept Walkthrough,245,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Connect to SAP systems, APIs, webhooks, authentication. Keep language business-friendly and avoid over-technical wording.",Target outcome: Enable real-world data access.
124,Module 4: SAP Joule Studio Deep Dive,4.5 Integration Configuration,SAP / Enterprise Example,216,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Enable real-world data access.
125,Module 4: SAP Joule Studio Deep Dive,4.5 Integration Configuration,Recap / Action Step,130,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Enable real-world data access.
126,Module 4: SAP Joule Studio Deep Dive,4.6 Response Generation Options,Open / Hook,108,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 4.6 Response Generation Options and explain why it matters for SAP Joule implementation.,"Target outcome: Create varied, relevant responses."
127,Module 4: SAP Joule Studio Deep Dive,4.6 Response Generation Options,Concept Walkthrough,204,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Templates, dynamic generation, formatting, personalization. Keep language business-friendly and avoid over-technical wording.","Target outcome: Create varied, relevant responses."
128,Module 4: SAP Joule Studio Deep Dive,4.6 Response Generation Options,SAP / Enterprise Example,180,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.","Target outcome: Create varied, relevant responses."
129,Module 4: SAP Joule Studio Deep Dive,4.6 Response Generation Options,Recap / Action Step,108,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.","Target outcome: Create varied, relevant responses."
130,Module 4: SAP Joule Studio Deep Dive,4.7 Deployment and Channels,Open / Hook,130,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 4.7 Deployment and Channels and explain why it matters for SAP Joule implementation.,Target outcome: Deploy to production environments.
131,Module 4: SAP Joule Studio Deep Dive,4.7 Deployment and Channels,Concept Walkthrough,245,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Publish agent, web/mobile/chat/voice channels, scaling. Keep language business-friendly and avoid over-technical wording.",Target outcome: Deploy to production environments.
132,Module 4: SAP Joule Studio Deep Dive,4.7 Deployment and Channels,SAP / Enterprise Example,216,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Deploy to production environments.
133,Module 4: SAP Joule Studio Deep Dive,4.7 Deployment and Channels,Recap / Action Step,130,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Deploy to production environments.
134,Module 4: SAP Joule Studio Deep Dive,4.8 Analytics and Monitoring,Open / Hook,130,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 4.8 Analytics and Monitoring and explain why it matters for SAP Joule implementation.,Target outcome: Track and optimize agent success.
135,Module 4: SAP Joule Studio Deep Dive,4.8 Analytics and Monitoring,Concept Walkthrough,245,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Performance dashboards, user interaction data, improvement insights. Keep language business-friendly and avoid over-technical wording.",Target outcome: Track and optimize agent success.
136,Module 4: SAP Joule Studio Deep Dive,4.8 Analytics and Monitoring,SAP / Enterprise Example,216,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Track and optimize agent success.
137,Module 4: SAP Joule Studio Deep Dive,4.8 Analytics and Monitoring,Recap / Action Step,130,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Track and optimize agent success.
138,Module 4: SAP Joule Studio Deep Dive,4.9 Hands-On Lab 1: Build Your First Agent,Open / Hook,216,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 4.9 Hands-On Lab 1: Build Your First Agent and explain why it matters for SAP Joule implementation.,Target outcome: Apply concepts in practice.
139,Module 4: SAP Joule Studio Deep Dive,4.9 Hands-On Lab 1: Build Your First Agent,Concept Walkthrough,408,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Step-by-step: create simple FAQ agent, train, test, deploy. Keep language business-friendly and avoid over-technical wording.",Target outcome: Apply concepts in practice.
140,Module 4: SAP Joule Studio Deep Dive,4.9 Hands-On Lab 1: Build Your First Agent,SAP / Enterprise Example,360,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Apply concepts in practice.
141,Module 4: SAP Joule Studio Deep Dive,4.9 Hands-On Lab 1: Build Your First Agent,Recap / Action Step,216,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Apply concepts in practice.
142,Module 4: SAP Joule Studio Deep Dive,4.10 Studio Best Practices,Open / Hook,108,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 4.10 Studio Best Practices and explain why it matters for SAP Joule implementation.,Target outcome: Work professionally with studio.
143,Module 4: SAP Joule Studio Deep Dive,4.10 Studio Best Practices,Concept Walkthrough,204,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Workflows, naming conventions, documentation, version control. Keep language business-friendly and avoid over-technical wording.",Target outcome: Work professionally with studio.
144,Module 4: SAP Joule Studio Deep Dive,4.10 Studio Best Practices,SAP / Enterprise Example,180,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Work professionally with studio.
145,Module 4: SAP Joule Studio Deep Dive,4.10 Studio Best Practices,Recap / Action Step,108,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Work professionally with studio.
146,Module 4: SAP Joule Studio Deep Dive,4.11 Studio Troubleshooting,Open / Hook,86,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 4.11 Studio Troubleshooting and explain why it matters for SAP Joule implementation.,Target outcome: Solve problems independently.
147,Module 4: SAP Joule Studio Deep Dive,4.11 Studio Troubleshooting,Concept Walkthrough,163,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Common issues, debug strategies, resources. Keep language business-friendly and avoid over-technical wording.",Target outcome: Solve problems independently.
148,Module 4: SAP Joule Studio Deep Dive,4.11 Studio Troubleshooting,SAP / Enterprise Example,144,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Solve problems independently.
149,Module 4: SAP Joule Studio Deep Dive,4.11 Studio Troubleshooting,Recap / Action Step,86,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Solve problems independently.
150,Module 4: SAP Joule Studio Deep Dive,4.12 Quiz and Review,Open / Hook,86,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 4.12 Quiz and Review and explain why it matters for SAP Joule implementation.,Target outcome: Verify learning before moving on.
151,Module 4: SAP Joule Studio Deep Dive,4.12 Quiz and Review,Concept Walkthrough,163,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Self-assessment, knowledge check, module summary. Keep language business-friendly and avoid over-technical wording.",Target outcome: Verify learning before moving on.
152,Module 4: SAP Joule Studio Deep Dive,4.12 Quiz and Review,SAP / Enterprise Example,144,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Verify learning before moving on.
153,Module 4: SAP Joule Studio Deep Dive,4.12 Quiz and Review,Recap / Action Step,86,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Verify learning before moving on.
154,Module 5: Prompt Engineering Mastery,5.1 What is Prompt Engineering?,Open / Hook,108,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 5.1 What is Prompt Engineering? and explain why it matters for SAP Joule implementation.,Target outcome: Understand prompt engineering discipline.
155,Module 5: Prompt Engineering Mastery,5.1 What is Prompt Engineering?,Concept Walkthrough,204,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Definition, importance, art and science, business impact. Keep language business-friendly and avoid over-technical wording.",Target outcome: Understand prompt engineering discipline.
156,Module 5: Prompt Engineering Mastery,5.1 What is Prompt Engineering?,SAP / Enterprise Example,180,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Understand prompt engineering discipline.
157,Module 5: Prompt Engineering Mastery,5.1 What is Prompt Engineering?,Recap / Action Step,108,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Understand prompt engineering discipline.
158,Module 5: Prompt Engineering Mastery,5.2 Core Principles of Effective Prompts,Open / Hook,162,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 5.2 Core Principles of Effective Prompts and explain why it matters for SAP Joule implementation.,Target outcome: Craft fundamentally sound prompts.
159,Module 5: Prompt Engineering Mastery,5.2 Core Principles of Effective Prompts,Concept Walkthrough,306,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Clarity, specificity, context, role definition, format specification. Keep language business-friendly and avoid over-technical wording.",Target outcome: Craft fundamentally sound prompts.
160,Module 5: Prompt Engineering Mastery,5.2 Core Principles of Effective Prompts,SAP / Enterprise Example,270,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Craft fundamentally sound prompts.
161,Module 5: Prompt Engineering Mastery,5.2 Core Principles of Effective Prompts,Recap / Action Step,162,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Craft fundamentally sound prompts.
162,Module 5: Prompt Engineering Mastery,5.3 Prompt Patterns and Techniques,Open / Hook,194,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 5.3 Prompt Patterns and Techniques and explain why it matters for SAP Joule implementation.,Target outcome: Apply advanced prompt techniques.
163,Module 5: Prompt Engineering Mastery,5.3 Prompt Patterns and Techniques,Concept Walkthrough,367,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Few-shot, chain-of-thought, role-playing, constraints, examples. Keep language business-friendly and avoid over-technical wording.",Target outcome: Apply advanced prompt techniques.
164,Module 5: Prompt Engineering Mastery,5.3 Prompt Patterns and Techniques,SAP / Enterprise Example,324,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Apply advanced prompt techniques.
165,Module 5: Prompt Engineering Mastery,5.3 Prompt Patterns and Techniques,Recap / Action Step,194,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Apply advanced prompt techniques.
166,Module 5: Prompt Engineering Mastery,5.4 SAP-Specific Prompt Optimization,Open / Hook,130,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 5.4 SAP-Specific Prompt Optimization and explain why it matters for SAP Joule implementation.,Target outcome: Optimize for SAP Joule specifically.
167,Module 5: Prompt Engineering Mastery,5.4 SAP-Specific Prompt Optimization,Concept Walkthrough,245,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Business context, data awareness, process alignment, FICO examples. Keep language business-friendly and avoid over-technical wording.",Target outcome: Optimize for SAP Joule specifically.
168,Module 5: Prompt Engineering Mastery,5.4 SAP-Specific Prompt Optimization,SAP / Enterprise Example,216,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Optimize for SAP Joule specifically.
169,Module 5: Prompt Engineering Mastery,5.4 SAP-Specific Prompt Optimization,Recap / Action Step,130,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Optimize for SAP Joule specifically.
170,Module 5: Prompt Engineering Mastery,5.5 Prompt Iteration and Refinement,Open / Hook,108,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 5.5 Prompt Iteration and Refinement and explain why it matters for SAP Joule implementation.,Target outcome: Systematically improve prompts.
171,Module 5: Prompt Engineering Mastery,5.5 Prompt Iteration and Refinement,Concept Walkthrough,204,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Test, evaluate, iterate, A/B testing, metrics. Keep language business-friendly and avoid over-technical wording.",Target outcome: Systematically improve prompts.
172,Module 5: Prompt Engineering Mastery,5.5 Prompt Iteration and Refinement,SAP / Enterprise Example,180,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Systematically improve prompts.
173,Module 5: Prompt Engineering Mastery,5.5 Prompt Iteration and Refinement,Recap / Action Step,108,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Systematically improve prompts.
174,Module 5: Prompt Engineering Mastery,5.6 Hands-On Lab 2: Prompt Optimization,Open / Hook,162,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 5.6 Hands-On Lab 2: Prompt Optimization and explain why it matters for SAP Joule implementation.,Target outcome: Practical prompt engineering.
175,Module 5: Prompt Engineering Mastery,5.6 Hands-On Lab 2: Prompt Optimization,Concept Walkthrough,306,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Craft and refine prompts for business scenarios, measure improvements. Keep language business-friendly and avoid over-technical wording.",Target outcome: Practical prompt engineering.
176,Module 5: Prompt Engineering Mastery,5.6 Hands-On Lab 2: Prompt Optimization,SAP / Enterprise Example,270,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Practical prompt engineering.
177,Module 5: Prompt Engineering Mastery,5.6 Hands-On Lab 2: Prompt Optimization,Recap / Action Step,162,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Practical prompt engineering.
178,Module 5: Prompt Engineering Mastery,5.7 Common Mistakes and How to Avoid Them,Open / Hook,86,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 5.7 Common Mistakes and How to Avoid Them and explain why it matters for SAP Joule implementation.,Target outcome: Learn from common errors.
179,Module 5: Prompt Engineering Mastery,5.7 Common Mistakes and How to Avoid Them,Concept Walkthrough,163,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Vagueness, assumptions, complexity, context loss. Keep language business-friendly and avoid over-technical wording.",Target outcome: Learn from common errors.
180,Module 5: Prompt Engineering Mastery,5.7 Common Mistakes and How to Avoid Them,SAP / Enterprise Example,144,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Learn from common errors.
181,Module 5: Prompt Engineering Mastery,5.7 Common Mistakes and How to Avoid Them,Recap / Action Step,86,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Learn from common errors.
182,Module 6: Building Intelligent Conversational Agents,6.1 Agent Fundamentals,Open / Hook,130,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 6.1 Agent Fundamentals and explain why it matters for SAP Joule implementation.,Target outcome: Understand agent building blocks.
183,Module 6: Building Intelligent Conversational Agents,6.1 Agent Fundamentals,Concept Walkthrough,245,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Architecture, components, multi-turn conversations, intelligence. Keep language business-friendly and avoid over-technical wording.",Target outcome: Understand agent building blocks.
184,Module 6: Building Intelligent Conversational Agents,6.1 Agent Fundamentals,SAP / Enterprise Example,216,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Understand agent building blocks.
185,Module 6: Building Intelligent Conversational Agents,6.1 Agent Fundamentals,Recap / Action Step,130,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Understand agent building blocks.
186,Module 6: Building Intelligent Conversational Agents,6.2 Conversation Flow Design,Open / Hook,162,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 6.2 Conversation Flow Design and explain why it matters for SAP Joule implementation.,Target outcome: Design natural conversations.
187,Module 6: Building Intelligent Conversational Agents,6.2 Conversation Flow Design,Concept Walkthrough,306,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: User journey, intent clarification, information gathering, action execution. Keep language business-friendly and avoid over-technical wording.",Target outcome: Design natural conversations.
188,Module 6: Building Intelligent Conversational Agents,6.2 Conversation Flow Design,SAP / Enterprise Example,270,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Design natural conversations.
189,Module 6: Building Intelligent Conversational Agents,6.2 Conversation Flow Design,Recap / Action Step,162,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Design natural conversations.
190,Module 6: Building Intelligent Conversational Agents,6.3 Intent and Entity Recognition,Open / Hook,130,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 6.3 Intent and Entity Recognition and explain why it matters for SAP Joule implementation.,Target outcome: Build NLU capabilities.
191,Module 6: Building Intelligent Conversational Agents,6.3 Intent and Entity Recognition,Concept Walkthrough,245,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Define intents, entities, training examples, accuracy metrics. Keep language business-friendly and avoid over-technical wording.",Target outcome: Build NLU capabilities.
192,Module 6: Building Intelligent Conversational Agents,6.3 Intent and Entity Recognition,SAP / Enterprise Example,216,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Build NLU capabilities.
193,Module 6: Building Intelligent Conversational Agents,6.3 Intent and Entity Recognition,Recap / Action Step,130,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Build NLU capabilities.
194,Module 6: Building Intelligent Conversational Agents,6.4 Context Management,Open / Hook,130,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 6.4 Context Management and explain why it matters for SAP Joule implementation.,Target outcome: Maintain coherent conversations.
195,Module 6: Building Intelligent Conversational Agents,6.4 Context Management,Concept Walkthrough,245,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Track state, remember details, multi-turn understanding, personalization. Keep language business-friendly and avoid over-technical wording.",Target outcome: Maintain coherent conversations.
196,Module 6: Building Intelligent Conversational Agents,6.4 Context Management,SAP / Enterprise Example,216,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Maintain coherent conversations.
197,Module 6: Building Intelligent Conversational Agents,6.4 Context Management,Recap / Action Step,130,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Maintain coherent conversations.
198,Module 6: Building Intelligent Conversational Agents,6.5 Handling Errors and Edge Cases,Open / Hook,108,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 6.5 Handling Errors and Edge Cases and explain why it matters for SAP Joule implementation.,Target outcome: Build robust agents.
199,Module 6: Building Intelligent Conversational Agents,6.5 Handling Errors and Edge Cases,Concept Walkthrough,204,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Misunderstandings, clarification, fallbacks, graceful degradation. Keep language business-friendly and avoid over-technical wording.",Target outcome: Build robust agents.
200,Module 6: Building Intelligent Conversational Agents,6.5 Handling Errors and Edge Cases,SAP / Enterprise Example,180,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Build robust agents.
201,Module 6: Building Intelligent Conversational Agents,6.5 Handling Errors and Edge Cases,Recap / Action Step,108,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Build robust agents.
202,Module 6: Building Intelligent Conversational Agents,6.6 Agent Patterns by Use Case,Open / Hook,162,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 6.6 Agent Patterns by Use Case and explain why it matters for SAP Joule implementation.,Target outcome: Apply proven patterns.
203,Module 6: Building Intelligent Conversational Agents,6.6 Agent Patterns by Use Case,Concept Walkthrough,306,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Information lookup, transaction processing, decision support, guidance. Keep language business-friendly and avoid over-technical wording.",Target outcome: Apply proven patterns.
204,Module 6: Building Intelligent Conversational Agents,6.6 Agent Patterns by Use Case,SAP / Enterprise Example,270,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Apply proven patterns.
205,Module 6: Building Intelligent Conversational Agents,6.6 Agent Patterns by Use Case,Recap / Action Step,162,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Apply proven patterns.
206,Module 6: Building Intelligent Conversational Agents,6.7 Multi-Intent Conversations,Open / Hook,130,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 6.7 Multi-Intent Conversations and explain why it matters for SAP Joule implementation.,Target outcome: Handle sophisticated interactions.
207,Module 6: Building Intelligent Conversational Agents,6.7 Multi-Intent Conversations,Concept Walkthrough,245,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Complex requests, task decomposition, multi-step workflows. Keep language business-friendly and avoid over-technical wording.",Target outcome: Handle sophisticated interactions.
208,Module 6: Building Intelligent Conversational Agents,6.7 Multi-Intent Conversations,SAP / Enterprise Example,216,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Handle sophisticated interactions.
209,Module 6: Building Intelligent Conversational Agents,6.7 Multi-Intent Conversations,Recap / Action Step,130,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Handle sophisticated interactions.
210,Module 6: Building Intelligent Conversational Agents,6.8 Rich Response Formatting,Open / Hook,108,Title slide with business problem and learning objective,"Face camera, warm confident opening",Introduce 6.8 Rich Response Formatting and explain why it matters for SAP Joule implementation.,Target outcome: Create engaging interfaces.
211,Module 6: Building Intelligent Conversational Agents,6.8 Rich Response Formatting,Concept Walkthrough,204,Animated concept map with key terms and relationships,Point to key terms; slow deliberate pacing,"Explain: Cards, buttons, tables, rich text, visual elements. Keep language business-friendly and avoid over-technical wording.",Target outcome: Create engaging interfaces.
212,Module 6: Building Intelligent Conversational Agents,6.8 Rich Response Formatting,SAP / Enterprise Example,180,SAP business scenario or screen-placeholder with callouts,Shift toward visual and gesture to workflow,"Connect the concept to a realistic SAP process, decision, data object, or governance need.",Target outcome: Create engaging interfaces.
213,Module 6: Building Intelligent Conversational Agents,6.8 Rich Response Formatting,Recap / Action Step,108,Key takeaway slide with checklist and next-step prompt,Return to camera; crisp recap,"Summarize the lesson, confirm the learner objective, and bridge to the next section.",Target outcome: Create engaging interfaces.
